doi,text_id,text,sdg,labels_negative,labels_positive,agreement
10.1787/9ce809d8-en,a1cf17da8895a38f1815f513b01c8220,"Expenditure on social protection (in 2010/11 prices) increased from ETB 16.4 billion in 2012/13 to ETB 19.7 billion in 2014/15. There was a 38.7% increase in expenditure between 2014/15 and 2015/16, due to a significant increase in humanitarian relief related to the drought in 2015/16. The second- and third-largest components of social protection spending were access to basic social services and social insurance, with average annual shares of 13.2% and 9.0% respectively.",1,1,8,0.7777777777777778
10.30875/3f94ec01-en,5e6bf7aabcf96204c5726e3acdef78f4,"Phased implementation may be one strategy that can be employed, along with managing shortterm adjustment costs and building capabilities to exploit opportunities generated through trade. Of the roughly 3 billion people worldwide that have jobs, some 1.65 billion have regular wages or salaries, while another 1.4 billion work in farming, small household enterprises or as casual or seasonal day labor. The latter make up the majority of workers in the poorest countries, although there is little data on employment in many of the poorest countries, complicating analysis of their situation. The creation of jobs for those who want to work is critical, and as discussed in this report trade can drive the economic growth that delivers jobs along with the reallocation of people to better jobs, and improving aspects of the work people do.",1,0,4,1.0
10.30875/717fbf8e-en,d7d65fe732cfdd30d98c4a3d5087b376,"First of all, they show that ""risk-induced"" vulnerability is relevant and significant even in absence of ex-post shocks. Second, they demonstrate that the liberalization process needs to be accompanied by additional support to households engaged in those farm activities more exposed to international competition, since trade openness can magnify risk. This is because liberalization changes the riskiness of existing activities, altering the weight of foreign relative to domestic shocks faced by the economy and, as a consequence, the households' optimal economic activities. This is especially true for the smallholder because of their poor ability to take advantage of the positive opportunities created by trade reforms, their weak capabilities to insure themselves against adverse impacts and, possibly, the lack of information about the risks associated with the new activities induced by openness Interventions to address these issues should primarily target trade-induced vulnerable households.",1,0,3,1.0
10.18356/99aadf34-en,3eb419185470d501433c3fa8fa1592d5,"In many landlocked developing countries, such as Armenia, Azerbaijan, Kazakhstan and Mongolia, income poverty headcount ratios were less than 2 per cent in 2015. In several least developed countries, including Bangladesh, Bhutan, the Lao People's Democratic Republic and Nepal, the rates of extreme poverty declined by more than 20 percentage points between 1990 and 2015. Papua New Guinea also recorded a sharp fall in the poverty rate, from 64.5 per cent in 1990 to 28.4 per cent in 2015.",1,0,5,1.0
10.18356/ff1be167-en,e1b9f956c47ccca907060b2b5d767c99,"Despite the reductions recorded over the decade, levels of severe deprivation in access to drinking water are still high in a number of countries, especially in the Andean region: in the Plurinational State of Bolivia, 31.4% of children were severely deprived of access to drinking water in 2009 and, in Peru, 18.6% of children were severely deprived in 2011. Those who were not attending school at the time of measurement and had not completed secondary education but had attended school at some time are considered to be moderately deprived. Education is one of the child poverty dimensions with the lowest percentage of moderately or severely deprived children and adolescents.12 In 2011, 5.2% of the region's under-18-year-olds suffered moderate or severe deprivation of their right to education (they had never attended school or had dropped out), although only 0.8% suffered severe deprivation. From this it may be surmised that virtually all children have access to formal basic education (see table 11.6). Only two countries (Nicaragua and Guatemala) recorded levels of severe deprivation at or above 4% when last measured (see figure II.3).",1,1,7,0.75
10.18356/208cb99e-en,7ef11f15cbe01dd8e6f7ad041fd158b6,"Such information is essential to guide integrated policies. Whereas the traditional dashboard of non-monetary indicators reflects deprivations of all people, rich and poor (and is also reported), the coordinated dashboard of consistent sub-indices that unpack the MPI is focused on the poor. The MPI and its associated statistics can be reported for more than one poverty line or cut-off.",1,0,7,1.0
10.18356/47c7f9c4-en,5f3bdf1643b11096e1d48244f6511c04,"Non-contributory benefit schemes co-exist with contributory social insurance systems. Narrowly targeted social assistance benefits aimed at the poorest households have been introduced in all countries. In some countries, these benefits replaced the ‘old-style’ categorical benefits, privileges and subsidies, while in others they are created in addition to the existing categorical benefits.",1,0,3,1.0
10.18356/d19a5f58-en,42ff2ee44f6cbac113ecc1461b74293f,"Roelen, Gassmann, and de Neubourg (2011)28 compare child poverty outcomes in Vietnam on the basis of an absolute monetary approach with a country-specific multidimensional approach that aims to be a direct measure of child poverty beyond economic resources. The degree of overlap between the two methods of identification was found to be limited. The analysis also reveals that targeting of policies on the basis of monetary poverty potentially has unfavourable effects for those identified as multidimensionally poor, and vice versa.",1,0,9,1.0
10.1787/pension/glance-2013-5-en,855a3a00846e7d8731324397b36d3075,"For Spain, Calvo and Sanchez (2010) show that the inclusion of imputed rents in household income does not substantially change the number of people considered poor and non-poor on the basis of where they live. The main changes in the composition of the poor population that result from including imputed rents in income are the type of households, the age of household members, and tenure status. The authors suggest that the inclusion of imputed rents reduces by more than half the poverty rates of the over-65s who live alone.",1,0,3,1.0
10.18356/c530cc54-en,896560107b43c747d5b745d4254be39a,"While there is a substantive literature on the extent to which shared values define welfare institutions in developed countries,5 this literature is scarce in developing countries (Ulriksen & Plagerson, 2016a). Our paper aims to address this gap by contributing to the understanding of how ethical perspectives influence the shape of poverty reduction policies in lower- and middle-income countries. In the main body of the paper, we analyse how ethical perspectives help understand key design features of anti-poverty programmes, and provide three case studies (Brazil, South Africa and Ghana) exploring the role of ethical perspectives in the development of poverty reduction policy and programming in these countries. It pays particular attention to three design features discussed extensively in the literature: targeting, conditions and graduation.",1,1,8,0.7777777777777778
10.18356/7aa2651d-en,2a68d4cc49846de8044afd3fe6a11e81,Governments can and do take steps that are remarkably successful in counteracting child poverty. ” The principal league tables of child poverty with which this report began provide one overview of the record of different governments in helping families to protect children from the sharpest edges of poverty. But the available data also allow more specific comparisons to be made.,1,1,8,0.7777777777777778
10.18356/208cb99e-en,fc1d75567db3b2e7756a0f24087fd8b6,"Most indicators included in the proposed poverty measure are already considered as ""core indicators"" by Germany's official reports on poverty and wealth (e.g., Bundesregierung, 2013). These indicators themselves have been selected based on scholarly advice (Arndt and Volkert, 2007). The poverty index is calculated for three points of time (spanning 2001-2012) and comprises 6 dimensions: education, health, housing, employment, material deprivation, and social participation.",1,0,7,1.0
10.18356/ff76cb89-en,61594821f984a7c606f69c55cb4d425d,"Even though the total number of pupils enrolled is much higher than before, this still means that after seven years of schooling, almost half remain largely illiterate and unable to function better in society (Lugongo, 2010). Particularly unhelpful is the suffusion of policy with governance. For instance, in many agencies, good governance is tantamount to right development policy.",1,3,0,1.0
10.18356/5022b3a0-en,2d758f29a06abe295eba996a2576d1bd,"For the poorest and the hungriest in most LDCs, being assetless means being landless. In addition to low income, poor households are constrained in benefiting from land due to a lack of access to credit and savings, a weak land rental market, and other social factors. In many LDCs, women are constrained in acquiring land ownership rights.",1,0,9,1.0
