activity_text,top_sdg,top_score,source_file
"agencies to run community events including NAIDOC week West Daly Regional Council Focus 4: Delivering on our promises Objective We grow our services by listening and seeking new opportunities, working with others to support our communities today and in the future",17,0.8369438846906027,NT_Unknown_Rural_2025_alignment
3.4 Complete a review of sporting infrastructure across 3 communities 3.5 Upgrade security lighting Upgraded security lighting is ongoing at all Council properties to be completed in the 2025–26 financial year,11,0.7541522040963172,NT_Unknown_Rural_2025_alignment
"Waste management Council provided a range of waste management services for residents, businesses and community-based organisations across 2024–25 These included regular waste collection services, kerbside garbage collection, litter patrol, regular hard waste removal, community and pre-cyclone clean-up days, waste management facilities management, planning and developing operational policy and strategy, and community education and engagement",12,0.9907190099358558,NT_Unknown_Rural_2025_alignment
(iii) Impairment of financial assets Financial assets are evaluated at each balance sheet date to determine any evidence of impairment,10,0.4578825958470504,NT_Unknown_Rural_2025_alignment
 Evaluate the appropriateness of accounting policies used and the reasonableness of accounting estimates and related disclosures made by the CEO,12,0.6714143957197667,NT_Unknown_Rural_2025_alignment
system to capture road asset data (GIS) West Daly Regional Council Action Statement Council has been collaborating with Animal Management in Rural and Remote Indigenous Communities (AMRRIC) to support animal management in community Further and ongoing collaboration will continue in 2025-26 as well as to develop a formalised Animal Management Plan for the next 5 years,15,0.9457855423291524,NT_Unknown_Rural_2025_alignment
Several cemeteries and burial sites located within the 3 communities and throughout the Homelands were managed by the Council in 2024–25,15,0.4969792664051056,NT_Unknown_Rural_2025_alignment
"Carefully and methodically working through this targeted review process strengthens the long term sustainability of our business operations and it’s crucial that we continue to operate on a strong foundation so we can achieve our vision of making a difference in our community and creating places that are respectful, peaceful and safe",12,0.8445842243731022,NT_Unknown_Rural_2025_alignment
"There are 5 management zones across the Northern Territory under the Bushfires Management Act 2016 and within Bushfires NT jurisdiction, with the West Daly region under the Vernon Arafura Bushfire Management Zone The Vernon Arafura Regional Bushfire Management Plan supports community-wide fire management within our region and guides our response to and management of fire prevention activities",15,0.6084726800521215,NT_Unknown_Rural_2025_alignment
"By fostering open dialogue and active participation, we are building a more inclusive and responsive council As we look to the future, we remain committed to driving economic development, enhancing service delivery, and building resilient communities",11,0.6542403396517038,QLD_Unknown_Urban_2024_alignment
Stage 1 of the Collinsville Pump Track in Darcy Munro Park was soft launched on Monday 27 May The track was funded by Bowen Rail Company and is most suitable for beginners and intermediates,7,0.7425351403156917,QLD_Unknown_Urban_2024_alignment
Level 2 inspections have been completed with two bridges identified as requiring replacement in the near future These have been added to our capital program,11,0.6547546730637551,QLD_Unknown_Urban_2024_alignment
"Luke, who is a valued member of our Roads and Drainage team, completed his Certificate II and III in Construction through TAFE Queensland",17,0.7323049008846283,QLD_Unknown_Urban_2024_alignment
"AUDIT AND RISK Audit and Risk Committee Objectives: The Committee is established in accordance with Section 105, Local Government Act 2009, and Sections 208",11,0.7644255564808845,QLD_Unknown_Urban_2024_alignment
"Council’s investment in these parks enhances public spaces, supports local businesses, and stimulates the regional economy by driving local spending and attracting visitors",11,1.0,QLD_Unknown_Urban_2024_alignment
"Induction program delivered, with some elements of the program around team building and professional development carried over to 2024-2025 financial year budget as business as usual elements",17,0.8694746096928915,QLD_Unknown_Urban_2024_alignment
