doi,text_id,text,sdg,labels_negative,labels_positive,agreement
10.18356/f61073ef-en,1ac71e049adab5ef15de3bc98cb1d397,"Models designed to estimate the elasticity of poverty reduction must incorporate income inequality as an explanatory variable to prevent changes in income distribution being subsumed into growth elasticity. Similar results were found in Brazil by Barros, Henriques and Mendonga (2001). These authors emphasized that inequality in income distribution was responsible for economic growth being less efficient than it might be for poverty reduction purposes. In other words, the effect of growth on poverty reduction was smaller in Brazil than in other countries with the same income level.",1,0,10,1.0
10.18356/afa296fe-en,8e8a518a32d5bf8a4d6e09e51b54a0be,"Pursuant to Council resolution 12/19, the Independent Expert on the question of human rights and extreme poverty presented a report containing her recommendations for improving the draft guidelines. She added that ""[t]hese measures should include enhancing the capacity of individuals, community-based organizations, social movements and other non-governmental organizations that give visibility to those in extreme poverty"" and emphasized the role of institutional arrangements and mechanisms for effective popular participation (A/HRC/15/41, para. In this respect, incorporating the entitlement to participation in domestic legal orders becomes crucial in order to create a firm legal basis for people to assess their participation in all stages of development, to address the culpability for development harms36 and to seek compensation for lost entitlements, including social exclusion.",1,1,9,0.8
10.18356/fd80a3d2-en,bcb120d357371ddb853b14539aa830e3,"Hence, deflating by a food and clothing price index rather than the aggregate CPI provides a better indication of the welfare change for those workers. That is, inequality between unskilled wage-earners and the much wealthier owners of capital (human or physical) within developing countries would decrease with full trade reform. Anderson, Valenzuela and van der Mensbrugghe (2010) go a step further by explicitly assessing reform impacts on poverty even though the Linkage model has only one single representative household per country. They do so using the elasticities approach, which involves taking the estimated impact on real household income and applying an estimated income to poverty elasticity to estimate the impacts on the poverty headcount index for each country.",1,0,3,1.0
10.18356/dd581311-en,b43fcc4cb983af93a49aa8a4a5131c23,"Thus, poverty measurement is fundamental for monitoring public policies and, since these initiatives do not just provide monetary transfers but also educational, health, labour and social protection services, the monetary indicators provide insufficient information for capturing the impact of policies. For example, it has been pointed out that procedures for adding information may result in information losses and that the choice of an aggregation mechanism for handling information in a system of indicators may be arbitrary (Maurizio, 2010). However, a system of indicators does not solve the problem of identification, that is, of selecting those that may be classified as poor and those that may not. Moreover, a synthetic index facilitates the joint analysis of shortcomings, allowing for a comprehensive system (Santos, 2013), fosters communication by summing up a high number of dimensions and, consequently, facilitates decision-making (Maurizio, 2010, Santos, 2013).",1,1,8,0.7777777777777778
10.18356/1f11729d-en,6b82b0d50800cce22998f0a50cedc2bc,"Hence, children in low work intensity households, holding other characteristics constant, are more likely to fall into the poorest decile than children living in households with work intensity that higher or is equal to 20%. Differences in the probability of being in the bottom income decile by household work intensity is highest in Slovenia, closely followed by Slovak Republic and Estonia. The proportion of children living in deprived households differs across European countries with the lowest being 4.9% in Switzerland and highest reaching approximately 60% in Bulgaria. In all the European countries included in the analyses, at least 1 in 5 children in the poorest decile lives in a deprived household.",1,0,9,1.0
10.1787/dcr-2013-10-en,59f750965a33004b5d2ce8c1e2b99f00,"To be more precise, it includes policies and programmes that aim to reduce poverty and make people less vulnerable to unemployment, social exclusion, sickness, disability and old age by helping them to manage these risks and shocks. This is one of the most important innovations in recent social protection policy and is a reaction to the problem of how to find and target the poor. While most social protection programmes do include administrative mechanisms for reaching the poor, increasingly policy makers recognise the high costs associated with poverty targeting, and are aware of the important trade-offs.",1,1,8,0.7777777777777778
10.1787/9789264118720-6-en,d7e7754919797756ce6cfbcc528e3ba6,"A single disability pensioner would receive about a quarter of the average wage in benefit income (Chapter 4), and that does not include the value of social housing and utility support to which the disabled are entitled. In OECD countries, benefit income of recipients of disability benefits generally ranges from 25 to 40% of average earnings (OECD, 2010d). The benefits in question include the in-kind provision of housing (including maintenance) and utilities (energy) support, but also free transport, and medical care.",1,3,0,1.0
10.1787/5k92n2x6pts3-en,0c7ae8ceb0682c985a90767bf6835d38,"As countries reduce extreme absolute poverty, concerns of social inclusion, better represented by relative poverty lines, become increasingly relevant. Anchoring the poverty line to median welfare makes the poverty line dependent on distributional parameters beyond the mean, thus allowing for poverty lines that differ across countries with the same level of income per capita. The paper derives and presents relative poverty headcount ratios from publicly available grouped data for 114 countries. An examination of the trends in absolute and relative poverty in Brazil, China and the United States uncovers commonalities that are not apparent if the analysis focuses on national poverty lines or different concepts across countries.",1,1,8,0.7777777777777778
10.18356/afa296fe-en,6c26fad413f84f55d51e3fac8da1326e,"The concept is accredited to Charles Booth,5 who undertook to classify London's society statistically into four categories on the basis of daily income. Measurability and quantification were crucial for the success of this approach. Since Booth's work, many countries have adopted different criteria for the definition of poverty through income grouping. The World Bank played a major role in establishing the first unified international standard for the measurement of poverty in the 1990s with reference to those earning less than $ 1 a day.6 In 2000 the United Nations consolidated this approach by adopting the Millennium Development Goals, particularly goal 1, aimed at the eradication of extreme poverty and hunger.",1,0,3,1.0
10.18356/7ed1f44a-en,459a26323f910245a5fc34d10f6b489f,"The most common form of contributory social security scheme is “social insurance” which mainly covers formal wage employment. National Provident Funds would be an example of this. This includes, for example, social pension, health insurance, life insurance, disaster insurance and so on. The non-contributory schemes on the other hand are social assistance schemes based on condition of entitlement to receive benefits and provide conditional or unconditional transfers in cash or kind (ILO, 2010/11). Social assistance as the Department of International Development (2006: 1) notes, “comprises non-contributory transfers that are given to those deemed vulnerable by society on the basis of their vulnerability or poverty”.",1,0,4,1.0
10.1787/9ce809d8-en,0deaa28eadf123261e4e36d8b300c1c7,"First, that social protection be scaled up to cover a larger proportion of the population against a broader range of risks. Second, that domestic sources finance a greater proportion of spending. This latter objective reflects the fact that donor support for social protection - as for Ethiopia as a whole - is declining relative to other sources of revenue as the country nears its goal of achieving middle-income status.",1,0,9,1.0
10.18356/39291afb-en,305180565803b27df9f7fd94059a52c8,"Between 2012 and 2017 the incidence did not vary significantly from one group to another, so the gaps remained constant. In 2017 the incidence among couple households without children was around 3.7%, while it was 5.4% among single-person households. The highest incidence of extreme poverty was found in single-parent households (12%).",1,1,8,0.7777777777777778
10.18356/dd581311-en,7792edd4a2f18d169746bba6eee965e3,"This exercise was realized on the basis of a measure of insufficient income. For its part, Chile has a lower poverty incidence but a very similar level of poverty intensity to that observed in Argentina, Brazil, Costa Rica and Uruguay. As regards the area of residence, the values of MO are higher in rural areas of Guatemala, Nicaragua and Peru, while in terms of ethnicity, the highest values for MO are found among the indigenous population of Guatemala, Paraguay and Peru.",1,0,9,1.0
10.18356/f08da6fa-en,95e7fc2605a0d5b9a6c492a73abdbd24,"Indicators of deprivation in health are difficult to define, since most routine information in surveys refers to temporary illnesses during reference periods. This speaks of the need to include more suitable child health indicators in household surveys, measuring access to healthcare rather than temporary health status, which could be accomplished without increasing the length of the questionnaire by an excessive amount. More suitable indicators for health for example would be compliance with routine check-ups or vaccinations, and possibly access to health insurance, while for child development valuable information would be provided by asking about appropriate toys and parents' engagement with children up to three years old.",1,1,8,0.7777777777777778
10.18356/d100c303-en,bd854d9e1075a3e27814b19ae4471446,"According to these measures, a person is considered poor if he or she lives in a household with a consumption or income level below a nationally established threshold. National poverty lines are estimated in local currencies and reflect national standards. These thresholds still allow for participation in the normal consumption and living standards of the country but measure poverty in relation to the national average income levels. (",1,0,9,1.0
10.1787/9789264168350-8-en,380c9636aecf6958737f8ed30e473b5f,"Many people have limited or insecure access to land and property, due to a lack of legal protection and/or the risk of seizure of land by the more powerful. Commonly excluded groups include women, pastoralists and indigenous people. Securing land rights for these groups is particularly important for their empowerment.",1,0,4,1.0
10.1787/9789264084728-10-en,d4e863a69932a27d4c8eeda9e8483c2b,"Policies that target inequality directly can similarly advance further poverty reduction. At the same time, the countries that have successfully decreased absolute poverty face new challenges of fostering social inclusion. It then looks at the emerging need for converging countries to pay attention to relative deprivation in addition to absolute poverty.",1,0,8,1.0
